 ,,TỔNG QUAN KHSX Q1,,,,,,,,SP RESTOCK,SP NEW IN,THÁNG,CHỦ LỰC,DUY TRÌ,NEWIN,PHỄU,"TỔNG SL 
(KẾ HOẠCH)",SL NHẬP KHO (THỰC TẾ),"SL CHƯA GIAO
(KẾ HOẠCH)","TIẾN ĐỘ
NHẬP KHO","TỔNG PO
(THEO MÃ MÀU)","PO TRỄ HẠN
(THEO MÃ MÀU)",TỈ LỆ GIAO HÀNG ĐÚNG TIẾN ĐỘ,PO ĐÚNG HẠN,TỔNG PO ĐANG SẢN XUẤT,TỔNG PO HOÀN THÀNH,On - time Rate NI,On - time Rate Core,
,,,,,,,,,,22,8,THÁNG 2,0,0,0,0,0,0,0,#DIV/0!,83,7,,76,0,0,"88,89%","0,9361702128",
,,,,,,,,,,,,THÁNG 3,19.369,4.400,9.300,2.000,35.069,33.584,1.485,"95,77%",,,,,,,,,
,,,,,,,,,,,,THÁNG 4,12.217,5.400,4.800,4.000,26.417,25.930,487,"98,16%",,,,,,,,,
,,Thời gian giao hàng:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MÔ TẢ SẢN PHẨM,,,,,,,THÔNG TIN ĐẶT HÀNG,,,,,,THÔNG TIN NHẬP KHO,,,TRẠNG THÁI GIAO HÀNG,,,THEO DÕI TIẾN ĐỘ SẢN XUẤT,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,MÀU,MÃ ĐƠN ĐẶT HÀNG,ĐƠN GIÁ,TỔNG GIÁ TRỊ,SL ĐẶT HÀNG (pcs),NHÀ MÁY,TIME LINE NHẬP KHO,TUẦN,TG GH/ KIỂM FINAL,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Duyệt vải,Duyệt Bo,Trạng thái đồng bộ SX,Ngày lên chuyền,Ngày dự kiến hoàn tất,KQ FINAL,VẤN ĐỀ,Tuần
3,NEW IN,NEWIN,BASIC SYMBOL,,PO88,KEM VÀNG NEW,3_PO88_KEM VÀNG NEW,112.860,112.860.000,1.000,TLN,Tháng 3,Tuần 2,13/03/2026,14/03/2026,13/03/2026,665,67%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
4,NEW IN,NEWIN,BASIC SYMBOL,,PO88,KHAKI NEW,4_PO88_KHAKI NEW,112.860,90.288.000,800,TLN,Tháng 3,Tuần 2,13/03/2026,14/03/2026,12/03/2026,699,87%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
5,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,BE NHẠT,5_PO88_BE NHẠT,112.860,79.002.000,700,TLN,Tháng 3,Tuần 3,17/03/2026,18/03/2026,27/03/2026,781,112%,Trễ hạn,Hoàn thành,,,,,,,,,
6,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐẤT,6_PO88_ĐẤT,112.860,79.002.000,700,TLN,Tháng 3,Tuần 3,17/03/2026,18/03/2026,27/03/2026,666,95%,Trễ hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
9,NEW IN,NEWIN,BASIC DIAMOND,,PO166,TRẮNG KEM,9_PO166_TRẮNG KEM,127.440,127.440.000,1.000,AT,Tháng 3,Tuần 2,10/03/2026,11/03/2026,10/03/2026,958,96%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
10,NEW IN,NEWIN,BASIC DIAMOND,,PO166,BE ,10_PO166_BE ,127.440,127.440.000,1.000,AT,Tháng 3,Tuần 2,10/03/2026,11/03/2026,10/03/2026,974,97%,Đúng hạn,Hoàn thành,,,,,,,,,
11,NEW IN,NEWIN,BASIC DIAMOND,,PO166,XANH KHÓI,11_PO166_XANH KHÓI,127.440,76.464.000,600,AT,Tháng 3,Tuần 2,12/03/2026,13/03/2026,20/03/2026,563,94%,Trễ hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
12,NEW IN,NEWIN,BASIC DIAMOND,,PO166,XANH DENIM,12_PO166_XANH DENIM,127.440,76.464.000,600,AT,Tháng 3,Tuần 2,10/03/2026,11/03/2026,10/03/2026,537,90%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
13,NEW IN,NEWIN,BASIC DIAMOND,,PO166,XANH MINT,13_PO166_XANH MINT,127.440,76.464.000,600,AT,Tháng 3,Tuần 2,12/03/2026,13/03/2026,11/03/2026,579,97%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
19,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐỎ NÂU,19_PO88_ĐỎ NÂU,112.860,90.288.000,800,TLN,Tháng 3,Tuần 2,12/03/2026,13/03/2026,12/03/2026,810,101%,Đúng hạn,Hoàn thành,,,,,,,,,
20,NEW IN,NEWIN,BASIC SYMBOL,,PO88,XÁM ĐẬM NEW,20_PO88_XÁM ĐẬM NEW,112.860,90.288.000,800,TLN,Tháng 3,Tuần 3,19/03/2026,20/03/2026,19/03/2026,817,102%,Đúng hạn,Hoàn thành,,,,,,,,,
21,NEW IN,NEWIN,BASIC SYMBOL,,PO88,NÂU NHẠT,21_PO88_NÂU NHẠT,112.860,90.288.000,800,TLN,Tháng 3,Tuần 3,19/03/2026,20/03/2026,19/03/2026,783,98%,Đúng hạn,Hoàn thành,HOÀN THÀNH,,,,,,,,
22,NEW IN,NEWIN,BASIC SYMBOL,,PO88,BE HỒNG,22_PO88_BE HỒNG,112.860,90.288.000,800,TLN,Tháng 3,Tuần 3,20/03/2026,21/03/2026,20/03/2026,751,94%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
28,RESTOCK,DUY TRÌ,ASTON PMD31,,PO253,ĐEN 84,28_PO253_ĐEN 84,201.528,120.916.800,600,TLN,Tháng 3,Tuần 2,10/03/2026,11/03/2026,10/03/2026,605,101%,Đúng hạn,Hoàn thành,,,,,,,,,
