Mã đơn hàng,Tên SP,Art Code,Màu,Tổng SL,Đơn giá,Thành tiền (trước VAT),Thông tin NPL,T.Gian Giao,Ghi Chú,Size S,Size M/29,Size L/30,Size XL/31,Size XXL/32,Size 34,Size FREE
0003/2026/PLMR-TLN,BASIC SYMBOL,PO88,KEM VÀNG NEW,1000,112860,112860000,,14/3/2026,NEW IN - NEWIN,,250,Pass,250,150,,
0004/2026/PLMR-TLN,BASIC SYMBOL,PO88,KHAKI NEW,800,112860,90288000,,14/3/2026,NEW IN - NEWIN,,225,Pass,200,150,,
0005/2026/PLMR-TLN,BASIC SYMBOL,PO88,BE NHẠT,700,112860,79002000,,18/3/2026,RESTOCK - CHỦ LỰC,,200,Pass,150,100,,
0006/2026/PLMR-TLN,BASIC SYMBOL,PO88,ĐẤT,700,112860,79002000,,18/3/2026,RESTOCK - CHỦ LỰC,,200,Pass,150,100,,
0009/2026/PLMR-AT,BASIC DIAMOND,PO166,TRẮNG KEM,1000,127440,127440000,,11/3/2026,NEW IN - NEWIN,,300,Pass,250,150,,
0010/2026/PLMR-AT,BASIC DIAMOND,PO166,BE,1000,127440,127440000,,11/3/2026,NEW IN - NEWIN,,300,Pass,250,150,,
0011/2026/PLMR-AT,BASIC DIAMOND,PO166,XANH KHÓI,600,127440,76464000,,13/3/2026,NEW IN - NEWIN,,150,Pass,150,100,,
0012/2026/PLMR-AT,BASIC DIAMOND,PO166,XANH DENIM,600,127440,76464000,,11/3/2026,NEW IN - NEWIN,,150,Pass,150,100,,
0013/2026/PLMR-AT,BASIC DIAMOND,PO166,XANH MINT,600,127440,76464000,,13/3/2026,NEW IN - NEWIN,,150,Pass,150,100,,
0014/2026/PLMR-AT,BASIC DIAMOND,PO166,ĐỎ NÂU,630,127440,80287200,,12/5/2026,RESTOCK - CHỦ LỰC,,190,190,150,100,,
0015/2026/PLMR-AT,BASIC DIAMOND,PO166,NAVY NEW,630,127440,80287200,,19/5/2026,RESTOCK - CHỦ LỰC,,190,190,150,100,,
0016/2026/PLMR-AT,BASIC DIAMOND,PO166,TRẮNG NEW,630,127440,80287200,,16/5/2026,RESTOCK - CHỦ LỰC,,190,190,150,100,,
0017/2026/PLMR-AT,BASIC DIAMOND,PO166,CÀ PHÊ,630,127440,80287200,,15/5/2026,RESTOCK - CHỦ LỰC,,190,190,150,100,,
0018/2026/PLMR-AT,BASIC DIAMOND,PO166,BE,630,127440,80287200,,17/5/2026,RESTOCK - CHỦ LỰC,,190,190,150,100,,
0019/2026/PLMR-TLN,BASIC SYMBOL,PO88,ĐỎ NÂU,800,112860,90288000,,13/3/2026,RESTOCK - CHỦ LỰC,,225,Pass,200,150,,
0020/2026/PLMR-TLN,BASIC SYMBOL,PO88,XÁM ĐẬM NEW,800,112860,90288000,,20/3/2026,NEW IN - NEWIN,,225,Pass,200,150,,
0021/2026/PLMR-TLN,BASIC SYMBOL,PO88,NÂU NHẠT,800,112860,90288000,,20/3/2026,NEW IN - NEWIN,,225,Pass,200,150,,
0022/2026/PLMR-TLN,BASIC SYMBOL,PO88,BE HỒNG,800,112860,90288000,,21/3/2026,NEW IN - NEWIN,,225,Pass,200,150,,
0028/2026/PLMR-TLN,ASTON PMD31,PO253,ĐEN 84,600,201528,120916800,,11/3/2026,RESTOCK - DUY TRÌ,125,250,Pass,50,,,
0029/2026/PLMR-AT,CLASSIC,PO119,TRẮNG,500,124200,62100000,,18/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0030/2026/PLMR-AT,CLASSIC,PO119,ĐEN,500,124200,62100000,,18/4/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0031/2026/PLMR-AT,CLASSIC,PO119,XÁM NHẠT,500,124200,62100000,,19/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0032/2026/PLMR-AT,CLASSIC,PO119,KEM NHẠT,500,124200,62100000,,19/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0033/2026/PLMR-TLN,BASIC SYMBOL,PO88,CAFE,700,112860,79002000,,3/6/2026,RESTOCK - CHỦ LỰC,,175,250,175,100,,
0034/2026/PLMR-AN,CLASSIC DIAMOND,PO215,NAVY,500,117000,58500000,,26/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0035/2026/PLMR-AT,ZYBER,PO210,ĐEN,500,145800,72900000,,27/3/2026,RESTOCK - DUY TRÌ,,150,Pass,100,75,,
0036/2026/PLMR-AT,TRAVIS,PO98,NAVY,800,124200,99360000,,4/3/2026,RESTOCK - CHỦ LỰC,,250,Pass,200,100,,
0037/2026/PLMR-AT,MAVEN,PO230,NAVY,600,137160,82296000,,11/3/2026,RESTOCK - DUY TRÌ,,175,Pass,150,100,,
0038/2026/PLMR-AT,ZYBER,PO210,CAFE,500,145800,72900000,,24/3/2026,NEW IN - NEWIN,,125,Pass,125,100,,
0039/2026/PLMR-AT,ZYBER,PO210,BE NHẠT,800,145800,116640000,,25/3/2026,NEW IN - NEWIN,,200,Pass,200,100,,
0041/2026/PLMR-AT,CLASSIC,PO119,XÁM ĐẬM,800,124200,99360000,,21/3/2026,RESTOCK - CHỦ LỰC,,250,Pass,200,100,,
0042/2026/PLMR-TLN,NIVIX,PO202,KEM NHẠT,600,131868,79120800,,11/3/2026,RESTOCK - DUY TRÌ,150,200,Pass,100,,,
0043/2026/PLMR-TLN,ADEN,PO105,TRẮNG,600,127656,76593600,,10/3/2026,RESTOCK - DUY TRÌ,,300,Pass,150,,,
0044/2026/PLMR-LC,SHORT KAKI,PO99,BE,800,112000,89600000,,4/3/2026,RESTOCK - CHỦ LỰC,,200,Pass,300,,,
0045/2026/PLMR-LC,SHORT KAKI,PO99,BE ĐẬM,500,112000,56000000,,4/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,150,,,
0046/2026/PLMR-LC,SHORT KAKI,PO99,NÂU,500,112000,56000000,,4/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,150,,,
0047/2026/PLMR-AT,IRISH PMD35,PO260,KEM,600,139320,83592000,,6/3/2026,RESTOCK - DUY TRÌ,,175,Pass,150,100,,
0049/2026/PLMR-TLN,BASIC SYMBOL,PO88,TRẮNG,450,112860,50787000,,2/4/2026,RESTOCK - CHỦ LỰC,,20,Pass,250,150,,
0050/2026/PLMR-TLN,BASIC SYMBOL,PO88,ĐEN,1000,112860,112860000,,19/3/2026,RESTOCK - CHỦ LỰC,,300,Pass,250,150,,
0051/2026/PLMR-TLN,BASIC SYMBOL,PO88,KEM NHẠT,600,112860,67716000,,25/3/2026,RESTOCK - CHỦ LỰC,,175,Pass,150,75,,
0053/2026/PLMR-TLN,BASIC SYMBOL,PO88,TRẮNG,1000,112860,112860000,,15/4/2026,RESTOCK - CHỦ LỰC,,400,Pass,,,,
0054/2026/PLMR-TLN,BASIC SYMBOL,PO88,ĐEN,500,112860,56430000,,15/4/2026,RESTOCK - CHỦ LỰC,,150,Pass,125,75,,
0055/2026/PLMR-TLN,BASIC SYMBOL,PO88,KEM NHẠT,800,112860,90288000,,17/4/2026,RESTOCK - CHỦ LỰC,,250,Pass,,,,
0056/2026/PLMR-TLN,BASIC SYMBOL,PO88,NAVY,800,112860,90288000,,23/4/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,100,,
0057/2026/PLMR-TLN,JAY,PO201,TRẮNG,800,121284,97027200,,2/4/2026,NEW IN - NEWIN,,200,Pass,200,100,,
0058/2026/PLMR-TLN,JAY,PO201,NAVY,800,121284,97027200,,2/4/2026,NEW IN - NEWIN,,200,Pass,200,100,,
0059/2026/PLMR-TLN,BASIC SYMBOL,PO88,CAFE,800,112860,90288000,,10/3/2026,RESTOCK - CHỦ LỰC,,250,Pass,200,100,,
0060/2026/PLMR-TLN,BASIC SYMBOL,PO88,ĐEN,1500,112860,169290000,,11/3/2026,RESTOCK - CHỦ LỰC,,400,Pass,400,200,,
0061/2026/PLMR-TLN,BASIC SYMBOL,PO88,NAVY,400,112860,45144000,,10/3/2026,RESTOCK - CHỦ LỰC,,200,Pass,200,,,
0062/2026/PLMR-AT,CLASSIC,PO119,ĐEN,600,124200,74520000,,18/3/2026,RESTOCK - CHỦ LỰC,,175,Pass,125,100,,
0063/2026/PLMR-AT,BASIC DIAMOND,PO166,NAVY,800,127440,101952000,,5/3/2026,RESTOCK - CHỦ LỰC,,250,Pass,200,100,,
0064/2026/PLMR-LC,JEAN STRAIGHT,PO216,XANH NHẠT,2000,180000,360000000,,4/3/2026,RESTOCK - CHỦ LỰC,400,450,Pass,400,300,,
0065/2026/PLMR-AT,BASIC DIAMOND,PO166,ĐEN,500,127440,63720000,,3/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0066/2026/PLMR-AT,BASIC DIAMOND,PO166,TRẮNG,500,127440,63720000,,3/3/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0068/2026/PLMR-AT,CLASSIC DIAMOND V2,PO276,BE NHẠT,900,124200,111780000,,4/3/2026,RESTOCK - DUY TRÌ,,220,Pass,180,120,,
0069/2026/PLMR-AN,CLASSIC DIAMOND,PO215,NAVY,500,117000,58500000,,2/4/2026,RESTOCK - CHỦ LỰC,,150,Pass,100,75,,
0070/2026/PLMR-TT,VỚ LOGO,VO5,ĐEN,1000,15660,15660000,,14/3/2026,RESTOCK - PHỄU,,1000,Pass,,,,
0071/2026/PLMR-TT,VỚ LOGO,VO5,TRẮNG,1000,15660,15660000,,14/3/2026,RESTOCK - PHỄU,,1000,Pass,,,,
0072/2026/PLMR-TLN,NORF,PO301,TRẮNG,800,135000,108000000,,4/4/2026,NEW IN - NEWIN,,225,Pass,200,150,,
0074/2026/PLMR-AT,TRAVIS,PO98,NAVY,500,124200,62100000,,22/4/2026,RESTOCK - CHỦ LỰC,,175,Pass,100,75,,
0077/2026/PLMR-AT,LINE,PO303,NAVY,800,139320,111456000,,3/4/2026,NEW IN - NEWIN,,250,Pass,200,100,,
0078/2026/PLMR-AT,TRAVIS,PO98,CAFE,800,125280,100224000,,3/4/2026,NEW IN - NEWIN,,250,Pass,200,100,,
0084/2026/PLMR-LC,SHORT KAKI,PO99,ĐEN,860,112000,96320000,,27/3/2026,RESTOCK - CHỦ LỰC,120,310,Pass,230,,,
0085/2026/PLMR-LC,KAKI SD,PO126,NÂU,500,123000,61500000,,27/3/2026,RESTOCK - CHỦ LỰC,60,120,Pass,100,50,,
0086/2026/PLMR-LC,QUẦN TÂY LƯNG CHUN,PO86,ĐEN,559,153000,85527000,,27/3/2026,RESTOCK - CHỦ LỰC,26,187,Pass,125,28,,
0088/2026/PLMR-TLN,CLASSIC,PO119,CAFE,700,112860,79002000,,27/5/2026,RESTOCK - CHỦ LỰC,,200,250,150,100,,
0090/2026/PLMR-AT,CLASSIC DIAMOND V2,PO276,ĐỎ NÂU,800,128520,102816000,,14/4/2026,RESTOCK - DUY TRÌ,,200,Pass,200,100,,
0091/2026/PLMR-TLN,BASIC SYMBOL,PO88,BE,800,112860,90288000,,21/4/2026,RESTOCK - DUY TRÌ,,200,Pass,200,100,,
0093/2026/PLMR-TLN,THOMAS,PO97,BE,600,123444,74066400,,17/6/2026,RESTOCK - DUY TRÌ,,175,200,150,75,,
0094/2026/PLMR-TLN,WICK,PO226,BE ĐẬM,800,126576,101260800,,17/4/2026,RESTOCK - DUY TRÌ,,200,Pass,200,100,,
0095/2026/PLMR-TLN,JAY,PO201,KEM NHẠT,800,121284,97027200,,17/4/2026,RESTOCK - DUY TRÌ,,200,Pass,200,100,,
0097/2026/PLMR-LC,SHORT KAKI,PO99,ĐEN,800,112000,89600000,,11/4/2026,RESTOCK - CHỦ LỰC,,340,Pass,100,,,
0098/2026/PLMR-LC,SHORT KAKI,PO99,TRẮNG,770,112000,86240000,,11/4/2026,RESTOCK - CHỦ LỰC,120,190,Pass,200,,,
0099/2026/PLMR-LC,KAKI SD,PO126,ĐEN,770,123000,94710000,,9/4/2026,RESTOCK - CHỦ LỰC,40,220,Pass,200,50,,
0100/2026/PLMR-LC,KAKI SD,PO126,BE,370,123000,45510000,,9/4/2026,RESTOCK - CHỦ LỰC,0,140,Pass,130,40,,
0101/2026/PLMR-LC,KAKI SD,PO126,NÂU,890,123000,109470000,,23/4/2026,RESTOCK - CHỦ LỰC,50,300,Pass,180,100,,
0102/2026/PLMR-LC,JEAN STRAIGHT,PO216,XANH NHẠT,294,180000,52920000,,4/4/2026,RESTOCK - CHỦ LỰC,55,65,Pass,66,33,,
0103/2026/PLMR-LC,QUẦN TÂY LƯNG CHUN,PO86,BE,573,153000,87669000,,23/4/2026,RESTOCK - CHỦ LỰC,46,192,199,103,33,,
0104/2026/PLMR-LC,SHORT KAKI,PO99,BE ĐẬM,600,123120,73872000,,23/4/2026,RESTOCK - CHỦ LỰC,50,270,Pass,120,,,
0105/2026/PLMR-LC,QUẦN TÂY LƯNG CHUN,PO86,ĐEN,600,168480,101088000,,23/4/2026,RESTOCK - CHỦ LỰC,50,200,Pass,100,50,,
0106/2026/PLMR-LC,KAKI STRAIGHT,PO249,BE,500,194400,97200000,,29/4/2026,RESTOCK - CHỦ LỰC,50,125,Pass,125,50,,
0107/2026/PLMR-LC,KAKI STRAIGHT,PO249,ĐEN,500,194400,97200000,,29/4/2026,RESTOCK - CHỦ LỰC,50,125,Pass,125,50,,
0108/2026/PLMR-LC,KAKI STRAIGHT,PO249,NÂU,500,194400,97200000,,29/4/2026,RESTOCK - CHỦ LỰC,50,125,Pass,125,50,,
0109/2026/PLMR-LC,KAKI STRAIGHT,PO249,KEM,800,194400,155520000,,29/4/2026,NEW IN - CHỦ LỰC,100,200,250,150,100,,
0110/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,TRẮNG 02,800,150120,120096000,,28/4/2026,RESTOCK - DUY TRÌ,,200,Pass,250,100,,
0111/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,NAVY 35,800,159840,127872000,,24/6/2026,RESTOCK - DUY TRÌ,,200,250,250,100,,
0112/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,XANH NHẠT 07,800,150120,120096000,,28/4/2026,RESTOCK - DUY TRÌ,,200,Pass,250,100,,
0113/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,BE,800,150120,120096000,,28/4/2026,NEW IN - NEWIN,,200,Pass,250,100,,
0114/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,ĐEN,800,159840,127872000,,24/6/2026,NEW IN - NEWIN,,200,250,250,100,,
0115/2026/PLMR-GLX,Sơ mi POPLIN,PO258,TRẮNG 02,600,149580,89748000,,8/5/2026,RESTOCK - DUY TRÌ,,175,200,150,75,,
0116/2026/PLMR-GLX,Sơ mi POPLIN,PO258,ĐEN 147,600,149580,89748000,,24/4/2026,RESTOCK - DUY TRÌ,,175,Pass,150,75,,
0118/2026/PLMR-AT,BASIC CLASSIC,PO119,XÁM NHẠT,600,118800,71280000,,14/5/2026,RESTOCK - CHỦ LỰC,,175,200,150,75,,
0119/2026/PLMR-TLN,BASIC CLASSIC,PO119,TRẮNG,600,112860,67716000,,14/5/2026,RESTOCK - CHỦ LỰC,,175,200,150,75,,
0120/2026/PLMR-AT,BASIC CLASSIC,PO119,NAVY KEM,700,118800,83160000,,14/5/2026,RESTOCK - CHỦ LỰC,,200,250,150,100,,
0121/2026/PLMR-TLN,BASIC CLASSIC,PO119,KHAKI,600,112860,67716000,,13/6/2026,RESTOCK - NEWIN,,175,200,150,75,,
0122/2026/PLMR-AT,BASIC DIAMOND,PO166,KEM,800,128520,102816000,,3/5/2026,NEW IN - NEWIN,,250,Pass,200,100,,
0123/2026/PLMR-AT,CLASSIC DIAMOND V2,PO276,XANH KHÓI,800,128520,102816000,,9/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0124/2026/PLMR-AT,CLASSIC DIAMOND V2,PO276,XANH DENIM,800,128520,102816000,,9/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0129/2026/PLMR-AT,PHILO PK75,PO309,TRẮNG KEM,800,139320,111456000,,27/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0130/2026/PLMR-AT,KITT PMK82,PO400,XANH MINT,800,149040,119232000,,27/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0131/2026/PLMR-TLN,BASIC SYMBOL,PO88,ĐEN,500,112860,56430000,,10/5/2026,RESTOCK - CHỦ LỰC,,150,150,125,75,,
0132/2026/PLMR-TLN,BASIC SYMBOL,PO88,TRẮNG,1000,112860,112860000,,15/5/2026,RESTOCK - CHỦ LỰC,,400,600,,,,
0133/2026/PLMR-TLN,BASIC SYMBOL,PO88,NAVY,800,112860,90288000,,15/5/2026,RESTOCK - CHỦ LỰC,,250,250,200,100,,
0134/2026/PLMR-TLN,BASIC SYMBOL,PO88,BE NHẠT,600,112860,67716000,,10/5/2026,RESTOCK - CHỦ LỰC,,175,200,150,75,,
0135/2026/PLMR-TLN,BASIC DIAMOND,PO166,OLIU,800,126144,100915200,,3/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0136/2026/PLMR-TLN,BASIC DIAMOND,PO166,RÊU,800,126144,100915200,,3/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0137/2026/PLMR-TLN,BASIC DIAMOND,PO166,INDIGO,800,126144,100915200,,3/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0138/2026/PLMR-TLN,ADEN,PO105,TRẮNG,600,127656,76593600,,20/5/2026,RESTOCK - DUY TRÌ,,175,200,150,75,,
0139/2026/PLMR-TLN,NIVIX,PO202,KEM NHẠT,600,131868,79120800,,13/5/2026,RESTOCK - DUY TRÌ,,175,200,150,75,,
0140/2026/PLMR-TLN,RUM,PO241,KEM NHẠT,800,126576,101260800,,13/5/2026,RESTOCK - DUY TRÌ,,250,250,200,100,,
0141/2026/PLMR-TLN,ANDY,PO182,KEM NHẠT,800,122364,97891200,,13/5/2026,RESTOCK - DUY TRÌ,,250,250,200,100,,
0142/2026/PLMR-TLN,KANE,PO235,BE ĐẬM,500,128736,64368000,,24/6/2026,RESTOCK - DUY TRÌ,,100,200,150,50,,
0146/2026/PLMR-TLN,TORA - PMB85,PO302,KEM  NHẠT,800,136080,108864000,,5/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0147/2026/PLMR-TLN,ALLI - PMB81,PO304,KEM VÀNG,800,128736,102988800,,5/5/2026,NEW IN - NEWIN,,250,250,200,100,,
0148/2026/PLMR-LC,JEAN STRAIGHT,PO216,ĐEN,500,194400,97200000,,21/5/2026,RESTOCK - CHỦ LỰC,50,125,150,125,50,,
0149/2026/PLMR-LC,JEAN STRAIGHT,PO216,XANH ĐẬM,500,194400,97200000,,21/5/2026,RESTOCK - CHỦ LỰC,50,125,150,125,50,,
0150/2026/PLMR-LC,KAKI SD,PO126,BE,600,136080,81648000,,26/5/2026,RESTOCK - CHỦ LỰC,50,150,150,150,100,,
0151/2026/PLMR-LC,QUẦN TÂY LƯNG CHUN,PO86,ĐEN,600,168480,101088000,,26/5/2026,RESTOCK - CHỦ LỰC,50,200,200,100,50,,
0152/2026/PLMR-GLX,Sơ mi  OXFORD PREMIUM,PO252,TRẮNG 02,800,150120,120096000,,22/5/2026,RESTOCK - DUY TRÌ,,200,250,250,100,,
0153/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,NAVY 35,800,159840,127872000,,22/5/2026,RESTOCK - DUY TRÌ,,200,250,250,100,,
0154/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,BE,700,150120,105084000,,22/5/2026,RESTOCK - DUY TRÌ,,175,250,175,100,,
0155/2026/PLMR-GLX,Sơ mi OXFORD PREMIUM,PO252,ĐEN,600,159840,95904000,,22/5/2026,RESTOCK - DUY TRÌ,,175,200,150,75,,
0156/2026/PLMR-GLX,Sơ mi TAY NGẮN OXFORD,PO307,TRẮNG,600,137160,82296000,,29/5/2026,NEW IN - NEWIN,,175,200,150,75,,
0157/2026/PLMR-GLX,Sơ mi TAY NGẮN OXFORD,PO307,ĐEN,600,143640,86184000,,29/5/2026,NEW IN - NEWIN,,175,200,150,75,,
0158/2026/PLMR-GLX,Sơ mi TAY NGẮN OXFORD,PO307,NAVY,600,143640,86184000,,29/5/2026,NEW IN - NEWIN,,175,200,150,75,,
